GQD,SCF Energy (a.u.)
1nm-0pure-0percent.log,-2070.1
1nm-2Bdoped-3percent.log,-2043.6
1nm-2Ndoped-3percent.log,-2103.4
1nm-2Odoped-3percent.log,-2143.1
1nm-2Pdoped-3percent.log,-2676.5
1nm-2Sdoped-3percent.log,-2789
1nm-4Bdoped-5percent.log,-2017.1
1nm-4Ndoped-5percent.log,-2136.7
1nm-4Odoped-5percent.log,-2216.1
1nm-4Pdoped-5percent.log,-3283
1nm-4Sdoped-5percent.log,-3507.9
1nm-5Bdoped-7percent.log,-2003.1
1nm-5Ndoped-7percent.log,-2152.7
1nm-5Odoped-7percent.log,-2254.2
1nm-5Pdoped-7percent.log,-3585.5
1nm-5Sdoped-7percent.log,-3869
1nm-Bdoped-1.5percent.log,-2056.1
1nm-Ndoped--1.5percent.log,-2087.3
1nm-Odoped-1.5percent.log,-2107.1
1nm-Pdoped-1.5percent.log,-2372.7
1nm-Sdoped-1.5percent.log,-2428.8
1.5nm-0pure-0percent.log,-3980.6
1.5nm-10Bdoped-7percent.log,-3848
1.5nm-10Ndoped-7percent.log,-4146.9
1.5nm-10Odoped-7percent.log,-4348.8
1.5nm-10Pdoped-7percent.log,-7012.6
1.5nm-10Sdoped-7percent.log,-7578.5
1.5nm-2Bdoped-1.5percent.log,-3901.1
1.5nm-2Ndoped-1.5percent.log,-4014
1.5nm-2Odoped-1.5percent.log,-4053.7
1.5nm-2Pdoped-1.5percent.log,-4587.1
1.5nm-2Sdoped-1.5percent.log,-4699.6
1.5nm-4Bdoped-3percent.log,-3927.7
1.5nm-4Ndoped-3percent.log,-4047.3
1.5nm-4Odoped-3percent.log,-4126.7
1.5nm-4Pdoped-3percent.log,-5193.6
1.5nm-4Sdoped-3percent.log,-5418.5
1.5nm-6Bdoped-5percent.log,-3901.1
1.5nm-6Ndoped-5percent.log,-4080.5
1.5nm-6Odoped-5percent.log,-4200.7
1.5nm-6Pdoped-5percent.log,-5799.9
1.5nm-6Sdoped-5percent.log,-6138.5
2nm-0pure-0percent.log,-6501.1
2nm-12Bdoped-7percent.log,-6341.9
2nm-12Ndoped-7percent.log,-6700.6
2nm-12Odoped-7percent.log,-6945.5
2nm-12Pdoped-7percent.log,-10139.2
2nm-12Sdoped-7percent.log,-10820.9
2nm-3Bdoped-1.5percent.log,-6460.7
2nm-3Ndoped-1.5percent.log,-6550.5
2nm-3Odoped-1.5percent.log,-6609.9
2nm-3Pdoped-1.5percent.log,-7410.2
2nm-3Sdoped-1.5percent.log,-7578.8
2nm-5Bdoped-3percent.log,-6434.2
2nm-5Ndoped-3percent.log,-6583.7
2nm-5Odoped-3percent.log,-6684.1
2nm-5Pdoped-3percent.log,-8016.5
2nm-5Sdoped-3percent.log,-8298.9
2nm-9Bdoped-5percent.log,-6381.1
2nm-9Ndoped-5percent.log,-6650.2
2nm-9Odoped-5percent.log,-6833.2
2nm-9Pdoped-5percent.log,-9229.2
2nm-9Sdoped-5percent.log,-9739.9
